F336 - 0.199,F439W - 0.162,F555W - 0.123,F814W - 0.069
22.644,22.517,22.909,21.711
22.645,21.122,22.292,22.206
22.648,23.197,19.122,21.684
22.649,21.556,21.942,20.957
22.65,21.569,22.513,21.388
22.65,21.603,22.413,22.08
22.658,24.364,22.069,22.301
22.658,23.04,22.566,20.807
22.662,22.181,22.697,22.08
22.665,21.611,22.294,22.207
22.665,22.422,22.33,21.939
22.673,20.623,19.214,21.849
22.675,22.376,20.751,19.975
22.675,22.267,22.247,20.472
22.675,19.841,21.6,21.794
22.687,20.909,23.147,23.11
22.688,22.127,20.037,21.429
22.689,22.603,21.619,22.244
22.689,23.826,21.802,22.703
22.689,23.031,20.3,22.907
22.694,23.234,22.399,21.197
22.698,19.883,22.998,21.435
22.699,22.939,23.211,22.137
22.701,22.468,22.051,21.811
22.703,21.522,22.898,23.339
22.704,20.575,22.102,23.985
22.704,22.968,22.355,20.054
22.711,22.367,19.125,21.761
22.711,22.54,22.231,19.584
22.712,21.945,22.483,23.503
22.714,24.114,22.567,21.304
22.714,22.149,23.014,21.246
22.72,22.452,23.686,22.975
22.721,22.521,22.108,21.675
22.722,22.394,22.746,19.496
22.729,21.349,22.69,21.247
22.73,24.017,22.992,22.225
22.732,22.541,22.479,23.844
22.734,20.983,22.155,21.47
22.735,22.134,22.318,20.998
22.736,21.32,23.765,21.453
22.743,20.919,22.579,21.766
22.744,20.567,22.906,22.309
22.746,22.607,22.017,19.909
22.75,21.221,21.824,23.382
22.75,20.496,22.498,21.488
22.753,20.256,22.755,21.936
22.761,22.509,20.834,19.796
22.767,20.988,22.174,22.646
22.769,22.945,21.828,22.642
22.769,21.95,21.897,21.862
22.784,23.56,23.919,21.205
22.787,23.839,21.79,21.48
22.793,23.685,24.183,21.518
22.805,20.403,22.487,19.78
22.805,23.292,22.994,21.717
22.805,22.939,23.168,19.974
22.81,23.051,19.757,22.621
22.811,20.602,22.31,23.466
22.814,21.365,22.705,22.989
22.816,21.632,22.893,22.448
22.817,22.376,22.968,20.97
22.823,23.638,21.29,20.776
22.824,23.539,22.09,21.934
22.827,19.958,20.18,20.614
22.829,22.168,22.453,22.659
22.83,23.804,21.358,23.66
22.832,20.965,22.551,21.815
22.835,24.113,22.16,23.142
22.838,20.762,23.496,23.659
